date,product_id,category,color,price_usd,trend_mentions,trend_growth_pct,inventory_units,sales_units
2024-06-03,P0155,Sneakers,Cherry Red,2812,473,21,1198,472
2024-06-04,P0156,Dress,Olive Green,815,329,24,1245,488
2024-06-05,P0157,Handbag,Butter Yellow,1418,796,51,1292,722
2024-06-06,P0158,Jacket,Silver,2021,753,52,289,289
2024-06-07,P0159,Skirt,Electric Blue,2624,660,31,336,336
2024-06-08,P0160,Sneakers,Chocolate Brown,3227,617,34,383,383
2024-06-09,P0161,Dress,Cherry Red,1230,474,29,430,416
2024-06-10,P0162,Handbag,Olive Green,1833,330,15,477,342
2024-06-11,P0163,Jacket,Butter Yellow,2436,797,59,524,524
2024-06-12,P0164,Skirt,Silver,3039,754,43,571,571
2024-06-13,P0165,Sneakers,Electric Blue,3642,661,39,618,563
2024-06-14,P0166,Dress,Chocolate Brown,1645,618,42,665,577
2024-06-15,P0167,Handbag,Cherry Red,998,475,20,712,518
2024-06-16,P0168,Jacket,Olive Green,1601,331,23,759,418
2024-06-17,P0169,Skirt,Butter Yellow,2204,798,50,806,723
2024-06-18,P0170,Sneakers,Silver,2807,755,51,853,668
2024-06-19,P0171,Dress,Electric Blue,810,662,30,900,669
2024-06-20,P0172,Handbag,Chocolate Brown,1413,619,33,947,607
2024-06-21,P0173,Jacket,Cherry Red,2016,476,28,994,542
2024-06-22,P0174,Skirt,Olive Green,2619,332,14,1041,396
2024-06-23,P0175,Sneakers,Butter Yellow,3222,799,58,1088,727
2024-06-24,P0176,Dress,Silver,1225,756,42,1135,690
2024-06-25,P0177,Handbag,Electric Blue,1828,663,38,1182,651
2024-06-26,P0178,Jacket,Chocolate Brown,2431,620,41,1229,590
2024-06-27,P0179,Skirt,Cherry Red,3034,477,19,1276,489
2024-06-28,P0180,Sneakers,Olive Green,3637,333,22,273,241
2024-06-29,P0181,Dress,Butter Yellow,1640,800,49,320,320
2024-06-30,P0182,Handbag,Silver,993,757,50,367,367
2024-07-01,P0183,Jacket,Electric Blue,1596,664,46,414,414
2024-07-02,P0184,Skirt,Chocolate Brown,2199,621,32,461,461
2024-07-03,P0185,Sneakers,Cherry Red,2802,478,27,508,417
2024-07-04,P0186,Dress,Olive Green,805,334,13,555,408
2024-07-05,P0187,Handbag,Butter Yellow,1408,801,57,602,602
2024-07-06,P0188,Jacket,Silver,2011,758,41,649,649
2024-07-07,P0189,Skirt,Electric Blue,2614,665,37,696,568
2024-07-08,P0190,Sneakers,Chocolate Brown,3217,622,40,743,578
2024-07-09,P0191,Dress,Cherry Red,1220,479,18,790,491
2024-07-10,P0192,Handbag,Olive Green,1823,335,21,837,452
2024-07-11,P0193,Jacket,Butter Yellow,2426,802,48,884,697
2024-07-12,P0194,Skirt,Silver,3029,759,49,931,695
2024-07-13,P0195,Sneakers,Electric Blue,3632,666,45,978,595
2024-07-14,P0196,Dress,Chocolate Brown,1635,623,31,1025,624
2024-07-15,P0197,Handbag,Cherry Red,988,480,26,1072,529
2024-07-16,P0198,Jacket,Olive Green,1591,336,12,1119,445
2024-07-17,P0199,Skirt,Butter Yellow,2194,803,56,1166,714
2024-07-18,P0200,Sneakers,Silver,2797,760,57,1213,710
2024-07-19,P0201,Dress,Electric Blue,800,667,36,1260,639
2024-07-20,P0202,Handbag,Chocolate Brown,1403,624,39,1307,638
2024-07-21,P0203,Jacket,Cherry Red,2006,380,17,304,297
2024-07-22,P0204,Skirt,Olive Green,2609,337,20,351,307
2024-07-23,P0205,Sneakers,Butter Yellow,3212,804,47,398,398
2024-07-24,P0206,Dress,Silver,1215,761,48,445,445
2024-07-25,P0207,Handbag,Electric Blue,1818,668,44,492,492
2024-07-26,P0208,Jacket,Chocolate Brown,2421,625,30,539,506
2024-07-27,P0209,Skirt,Cherry Red,3024,381,25,586,403
2024-07-28,P0210,Sneakers,Olive Green,3627,338,11,633,316
2024-07-29,P0211,Dress,Butter Yellow,1630,805,55,680,680
2024-07-30,P0212,Handbag,Silver,983,762,56,727,698
2024-07-31,P0213,Jacket,Electric Blue,1586,669,35,774,633
2024-08-01,P0214,Skirt,Chocolate Brown,2189,626,38,821,582
2024-08-02,P0215,Sneakers,Cherry Red,2792,382,16,868,443
2024-08-03,P0216,Dress,Olive Green,795,339,19,915,454
2024-08-04,P0217,Handbag,Butter Yellow,1398,806,63,962,784
2024-08-05,P0218,Jacket,Silver,2001,763,47,1009,683
2024-08-06,P0219,Skirt,Electric Blue,2604,670,43,1056,644
2024-08-07,P0220,Sneakers,Chocolate Brown,3207,627,29,1103,547
2024-08-08,P0221,Dress,Cherry Red,1210,383,24,1150,498
2024-08-09,P0222,Handbag,Olive Green,1813,340,10,1197,401
2024-08-10,P0223,Jacket,Butter Yellow,2416,807,54,1244,731
2024-08-11,P0224,Skirt,Silver,3019,764,55,1291,666
2024-08-12,P0225,Sneakers,Electric Blue,3622,671,34,288,288
2024-08-13,P0226,Dress,Chocolate Brown,1625,628,37,335,335
2024-08-14,P0227,Handbag,Cherry Red,978,384,15,382,362
2024-08-15,P0228,Jacket,Olive Green,1581,341,18,429,372
2024-08-16,P0229,Skirt,Butter Yellow,2184,808,62,476,476
2024-08-17,P0230,Sneakers,Silver,2787,765,46,523,523
2024-08-18,P0231,Dress,Electric Blue,790,672,42,570,570
2024-08-19,P0232,Handbag,Chocolate Brown,1393,629,28,617,572
2024-08-20,P0233,Jacket,Cherry Red,1996,385,23,664,407
2024-08-21,P0234,Skirt,Olive Green,2599,342,26,711,417
2024-08-22,P0235,Sneakers,Butter Yellow,3202,809,53,758,661
2024-08-23,P0236,Dress,Silver,1205,766,54,805,732
2024-08-24,P0237,Handbag,Electric Blue,1808,673,33,852,607
2024-08-25,P0238,Jacket,Chocolate Brown,2411,630,36,899,617
2024-08-26,P0239,Skirt,Cherry Red,3014,386,14,946,406
2024-08-27,P0240,Sneakers,Olive Green,3617,343,17,993,406
2024-08-28,P0241,Dress,Butter Yellow,1620,810,61,1040,740
2024-08-29,P0242,Handbag,Silver,973,767,45,1087,731
2024-08-30,P0243,Jacket,Electric Blue,1576,674,41,1134,631
2024-08-31,P0244,Skirt,Chocolate Brown,2179,631,27,1181,595
2024-09-01,P0245,Sneakers,Cherry Red,2782,387,22,1228,420
2024-09-02,P0246,Dress,Olive Green,785,344,25,1275,485
2024-09-03,P0247,Handbag,Butter Yellow,1388,811,52,272,272
2024-09-04,P0248,Jacket,Silver,1991,768,53,319,319
2024-09-05,P0249,Skirt,Electric Blue,2594,675,32,366,366
2024-09-06,P0250,Sneakers,Chocolate Brown,3197,632,35,413,413
2024-09-07,P0251,Dress,Cherry Red,1200,388,30,460,432
2024-09-08,P0252,Handbag,Olive Green,1803,345,16,507,346
2024-09-09,P0253,Jacket,Butter Yellow,2406,812,60,554,554
2024-09-10,P0254,Skirt,Silver,3009,769,44,601,596
2024-09-11,P0255,Sneakers,Electric Blue,3612,676,40,648,567
2024-09-12,P0256,Dress,Chocolate Brown,1615,633,26,695,545
2024-09-13,P0257,Handbag,Cherry Red,2218,389,21,742,442
2024-09-14,P0258,Jacket,Olive Green,1571,346,24,789,422
2024-09-15,P0259,Skirt,Butter Yellow,2174,813,51,836,727
2024-09-16,P0260,Sneakers,Silver,2777,770,52,883,672
2024-09-17,P0261,Dress,Electric Blue,780,677,31,930,666
2024-09-18,P0262,Handbag,Chocolate Brown,1383,634,34,977,604
2024-09-19,P0263,Jacket,Cherry Red,1986,390,29,1024,490
2024-09-20,P0264,Skirt,Olive Green,2589,347,15,1071,393
2024-09-21,P0265,Sneakers,Butter Yellow,3192,814,59,1118,724
2024-09-22,P0266,Dress,Silver,1195,771,43,1165,749
2024-09-23,P0267,Handbag,Electric Blue,1798,678,39,1212,648
2024-09-24,P0268,Jacket,Chocolate Brown,2401,635,42,1259,648
2024-09-25,P0269,Skirt,Cherry Red,3004,391,20,1306,438
2024-09-26,P0270,Sneakers,Olive Green,3607,348,23,303,303
2024-09-27,P0271,Dress,Butter Yellow,1610,815,50,350,350
2024-09-28,P0272,Handbag,Silver,2213,772,51,397,397
2024-09-29,P0273,Jacket,Electric Blue,1566,679,30,444,444
2024-09-30,P0274,Skirt,Chocolate Brown,2169,636,33,491,491
2024-10-01,P0275,Sneakers,Cherry Red,2772,392,28,538,372
2024-10-02,P0276,Dress,Olive Green,775,349,14,585,411
2024-10-03,P0277,Handbag,Butter Yellow,1378,816,58,632,632
2024-10-04,P0278,Jacket,Silver,1981,773,42,679,661
2024-10-05,P0279,Skirt,Electric Blue,2584,680,38,726,571
2024-10-06,P0280,Sneakers,Chocolate Brown,3187,637,41,773,581
2024-10-07,P0281,Dress,Cherry Red,1190,393,19,820,446
2024-10-08,P0282,Handbag,Olive Green,1793,350,22,867,456
2024-10-09,P0283,Jacket,Butter Yellow,2396,817,49,914,697
2024-10-10,P0284,Skirt,Silver,2999,774,50,961,693
2024-10-11,P0285,Sneakers,Electric Blue,3602,681,46,1008,592
2024-10-12,P0286,Dress,Chocolate Brown,1605,638,32,1055,621
2024-10-13,P0287,Handbag,Cherry Red,2208,394,27,1102,508
2024-10-14,P0288,Jacket,Olive Green,1561,351,13,1149,442
2024-10-15,P0289,Skirt,Butter Yellow,2164,818,57,1196,772
2024-10-16,P0290,Sneakers,Silver,2767,775,41,1243,671
2024-10-17,P0291,Dress,Electric Blue,770,682,37,1290,697
2024-10-18,P0292,Handbag,Chocolate Brown,1373,639,40,287,287
2024-10-19,P0293,Jacket,Cherry Red,1976,395,18,334,334
2024-10-20,P0294,Skirt,Olive Green,2579,352,21,381,310
2024-10-21,P0295,Sneakers,Butter Yellow,3182,819,48,428,428
2024-10-22,P0296,Dress,Silver,1185,776,49,475,475
2024-10-23,P0297,Handbag,Electric Blue,1788,683,45,522,522
2024-10-24,P0298,Jacket,Chocolate Brown,2391,640,31,569,510
2024-10-25,P0299,Skirt,Cherry Red,2994,396,26,616,406
2024-10-26,P0300,Sneakers,Olive Green,3597,353,12,663,320
